sequence,v115@vhHZEJukB/oBllBcrBTnBVvByxB,v115@vhHi/I/oB1pBllBcrBOsBzsBxuB,v115@vhHl/I/oB2pBllBcrBTnByxBxuB,v115@vhHcEJaoB5oBTlB/rBFnBWvB1xB,v115@vhHcEJGjB6qB/rBFnBVtBzpBxxB,v115@vhHcEJFjBTlB/rBFnBStBWvBxxB,v115@vhHZEJliBClBlmBToBXqB2wB0sB,v115@vhHFAJ5oBTkBFmBmnBXqBSwB0sB,v115@vhHc+I2kB5oB3lB1rBlnBTpByxB,v115@vhH/6IZkBSoBFlBVrBUnBWvBTtB,v115@vhH6+I/oBmkB0nBTpB1vBlrBxxB,v115@vhHO6IckBXlBCoBFrBVxBTtBxuB,v115@vhHeCJ5jBziBKpBUqBFrBXsBVyB,v115@vhHZ/IqgBzfB+tB1uB0qBlrB3sB,v115@vhHN7I0fBfmBKpBFqBGsBTtBRwB,v115@vhH99I8mBXjB+tBTpBiqBlsBRwB,v115@vhHO+I5jBikBfrB0mBlnBzpBVyB,v115@vhH66IZfBFlBXmB8rBGoB1uBzsB,v115@vhH6DJXiB8nB2pBFrBVxBTtBxuB,v115@vhHT+IXiB2pBFoBUrBFsBSyBxuB,v115@vhHT+I0iBKpB3mB+tBFqBlsBRwB,v115@vhHO/IflB0gBStBTpB1vBlrBxxB,v115@vhHT6I0gBlkBStB2uBlqB3rBxxB,v115@vhHT6IXgBKpBUmB+tBFqBlsBRwB,v115@vhHz6IZkBcoBFlBWvBFrBXsBSyB,v115@vhHz9I/kB5oBlnB2uB0qBlrByxB,v115@vhHT5IZkBcoBFlBWvBFrBXsBSyB,v115@vhHT1I/kB5oBlnB2uB0qBlrByxB,v115@vhHu6ITgBcoB1pBFrBXsBSyBxuB,v115@vhHa+I/kBTiBVtB2uB0qBlrBxxB,v115@vhHT+IZkB1lBqpB+tB0qBlrB3sB,v115@vhHT+I/kB1lBStB2uB0qBlrBxxB,v115@vhHT1IZkBcoBFlBWvBFrBXsBSyB,v115@vhHT5I/kB5oBlnB2uB0qBlrByxB,v115@vhHT6IVlB5oBKpBetBUqBFrBXsB,v115@vhHT6IVlBcoB2pBFrBXsBSyBxuB,v115@vhHT+IZkB1nBqpB+tB0qBlrB3sB,v115@vhHT+I/kB1nBStB2uB0qBlrBxxB,v115@vhH//ITjBKpBFnBUqBFrBGtBRxB,v115@vhH//I8nB+oBKpBzmBFqBVwBxxB,v115@vhHcDJTfBllB+tBipBlrB3sBRvB,v115@vhHcDJKkBflBzlB+tB1wBlsBxuB,v115@vhHT6IVnB5oBKpBetBUqBFrBXsB,v115@vhHT6IVnBcoB2pBFrBXsBSyBxuB,v115@vhHcCJ6oBlkBznB2uBlqB3rBxxB,v115@vhHcCJTjBikBWtB1uBlqB3rBxxB,v115@vhHWDJ/nBikBToB1uB0qBlrBxxB,v115@vhHcCJXjBmkBStBTpB1vBlrBxxB,v115@vhHcCJTjBikBWtB3pB1vBlrBxxB,v115@vhH/AJOkBzkBFoBUrBFsBSyBxuB,v115@vhH/AJTfBypBGoBUrBFsBVyBxuB,v115@vhHy/IclBTkBGoBFrBXsBVyBxuB,v115@vhH/AJ0fB2pBCoBFrBVxBTtBxuB,v115@vhH/AJTfBypBGoBFrBVxBUtBxuB,v115@vhHx/IikBFmB8rBGoB3pB1vBzsB,v115@vhHx/ImkBFmB8rBCoBTpB1vBXtB,v115@vhHxCJikBfrBlmBGoBzpBVxBUtB,v115@vhHxCJmkBfrBlmBCoB0pBVxBTtB,v115@vhH5+I2gBTfB0lBlmB9sB/tBipB,v115@vhHZ6ISiBTjBcpBNqBFmBXnBGtB,v115@vhHZEJXgBcoBFmBzpBWwBFsBSyB,v115@vhH/EJ0iB5oBlmB2uBlqBywBzsB,v115@vhHVAJZkBupBFmB0nB6tBTqB3rB,v115@vhH1CJ5oBOpBXlBlmBatBUrBTsB,v115@vhH01I/fBKpBVqBFmBxnBGsBTtB,v115@vhHX5IcjBxkBlmB1sB+tBTpBiqB,v115@vhH5+IOkBFlB8qBqrBTnB/tB1uB,v115@vhHZ6I6oBcpBTlBerBfsBlnBVyB,v115@vhHT5I8nB5oBlkB2uBlqB3rByxB,v115@vhHT5I8nB+oBikB1uBlqB3rBxxB,v115@vhHT1IZkBflBFoBWvBUrBFsBSyB,v115@vhHT1IKkBflBGoBUrBFsBVyBxuB,v115@vhHZ6IXhBcpB2qBFnBToBSwB1xB,v115@vhH5+I0hBTkBllBSsB/tBVvB2wB,v115@vhHcDJxhBTkBllB3mB1sB+tByuB,v115@vhH26IVjB0fBlgB3hBKpBxnBzsB,v115@vhHS+I1fBUhBFiBXjBxkB+tBzpB,v115@vhHZEJzfBGjBUmBFnB/tBCqB1xB,v115@vhHl/IziB5oBKpBllB3mBUqBmsB,v115@vhHi/IziB5oBcpBllB3mBVvBmsB,v115@vhHZEJzfBFjBUmBFnB+tBCqB3sB,v115@vhHT6I8nB5oBlkB2uBlqB3rByxB,v115@vhHT6I8nB+oBikB1uBlqB3rBxxB,v115@vhHT+IZkBflBFoBWvBUrBFsBSyB,v115@vhHT+IKkBflBGoBUrBFsBVyBxuB,v115@vhH//IxgBKpBVqBUmBFnBToBWyB,v115@vhH++IclBTkBFoBFrBXsBSyBxuB,v115@vhH++IclBTkBftB6tBFrBVxBxuB,v115@vhHK6I/nBlkBToB2uB0qBlrBxxB,v115@vhHK6I/nBOpB8pBToB1vBlrBxxB,v115@vhH66IZfBFlBXmB8rBznB+tB1uB,v115@vhHO+I5jBKpBzkBfrB0mBlnBVyB,v115@vhHT1I0fBKpB3mB+tBFqBlsBRwB,v115@vhHT5IXjBKpBUmB+tBFqBlsBRwB,v115@vhHfBJZkBSoBFlBUnBWvBFrBTtB,v115@vhH8BJ2kB5oB3lBlnBTpBlrByxB,v115@vhHK6I/oBmkB0nBTpB1vBlrBxxB,v115@vhH++IckBXlBCoBFrBVxBTtBxuB,v115@vhHZ/IFgB+pBFmB0nB6tBTqB3rB,v115@vhH5DJliBOpBXlBlmBKtBUrBTsB,v115@vhHcDJKlBfmBTkB+tB1wBlsBxuB,v115@vhHcDJTgBKpBfqBVrB+tBlsBRwB,v115@vhH//I8mB+nBKpBToBFqBVwBxxB,v115@vhH//ITiBKpB1rB8sB+tBFqBRwB,v115@vhH++IfmBUlBFoBTpBFsBSyBxvB,v115@vhHK6I8mBlkB3nB2uBlqBTtBxwB,v115@vhH2EJaoB5oBcqB/rBFnBTpB1xB,v115@vhH2EJFjBcqB/rBFnBStBTpBxxB,v115@vhHZEJukBSoBllBcrB/sBVvBTtB,v115@vhHl/ISoB2pBllBcrB/sBTtBxuB,v115@vhHO+I5jBikBzlBfsBlnBUqBVyB,v115@vhH66IZfBFlB8qBzmBGoB1uB3sB,v115@vhHT5I6oBxkB8qBfsBlnBmpBVyB,v115@vhHT1IOkBFlB8qBfsBxnB1uBCtB,v115@vhHOEJynB5oBFlB8qBfsB1uBzsB,v115@vhHZEJWlB6oB8qBfsBlnBzpBVyB,v115@vhHOEJXjBFlB8qBzmBStB1uBxxB,v115@vhH0/I6oB2pBzlBfsBlnBVyBxuB,v115@vhHOEJFlB8qBfsBxnB1uBCtBTtB,v115@vhH6IJxkB8qBfsBlnBmpBVyBTpB,v115@vhHO/IcoBFlBXmBTpBFsBSyBxvB,v115@vhH6DJ/kB0mBlnB2uBlqBTtBxwB,v115@vhH5+IOkBFlB0mB6sB/tB1uBzqB,v115@vhHZ6I6oBcpBOqBXmBlnBzrBVyB,v115@vhH//IxgBKpBGnBUqBFrBVxBTtB,v115@vhH//IxgBKpBGnBFqBVwBUsBTtB,v115@vhHcDJxhBilB+tBTpB1vBlrB3sB,v115@vhHcDJxhBilB+tBTpB3qB1wBlsB,v115@vhH+CJcjBflBStBTpB1vBlrBxxB,v115@vhH//IKgB8nB2pBFrBVxBTtBxuB,v115@vhHSDJfmBUlBGoBTpBFsBVyBxvB,v115@vhH2/I8mBikB3nB1uBlqBTtBxwB,v115@vhHe+IZkBClB/rBFnBToB0qB1xB,v115@vhHq6I5oBTkBllBcrBmnBVvBXsB,v115@vhHe+IZkBqpB/qBUmBFnBToB1xB,v115@vhHq6I5oBTkBllB3mBcsBetBVvB,v115@vhHx/IKpBzkBFmB8rBGoB1vB3sB,v115@vhH0CJ6oBxkBlmBmpBzqBXsBVyB,v115@vhHlCJcoBxkBlmBmpBzqBXsBSyB,v115@vhHxCJikBfrBlmBznB+tBUqBVxB,v115@vhHOEJXgBFmBxnB1uB0qBzrBCtB,v115@vhH/EJFgBFmBxnB2uB0qBzrBCtB,v115@vhHOEJFlBXmBxnB1uBzrBCtB0qB,v115@vhH6IJxkB0mBlnBmpBzqBVyBXsB,v115@vhHZ6IanBcpB/qBFmBGoB1wBzsB,v115@vhHe8IcmB/pBFlBxnB1vBzrBCtB,v115@vhH5+IulBikBlmBcsB/tBzpBVwB,v115@vhHq8I/mBxkBlnBctBmpBzqBVxB,v115@vhHUCJikBFmBToBGqB3rB1xBZkB,v115@vhH3AJTkBlmBGoBVvBUrBisB5oB,v115@vhHz9IVnB5oBKpBetBUqBFrBXsB,v115@vhHz9IVnBcoB2pBFrBXsBSyBxuB,v115@vhHU+IXiB2pBCoBFrBVxBTtBxuB,v115@vhH39ITjBKpBFnBUqBFrBGtBRxB,v115@vhHz6IZkB1lBqpB+tB0qBlrB3sB,v115@vhHz6I/kB1lBStB2uB0qBlrBxxB,v115@vhH36I0gBmkBStBTpB1vBlrBxxB,v115@vhHU7ITfBllB+tBipBlrB3sBRvB,v115@vhHZ6IKjBGiBUlBFmBVsBTpBXtB,v115@vhH5+I+fBigB1qBlmB3nB0pBTtB,v115@vhH2/I/oBTkBllB1rB0nByuBRwB,v115@vhHSDJckBXlBVrBFnBToBWyBRwB,v115@vhHmCJ5oBTkB0lBlmBftByuBVxB,v115@vhHx/IikBFmBXnBToB1uB0qBWyB,v115@vhHx/IKpBzkBFmBXnB8sB+tB1vB,v115@vhHx/IOpB8pBFmBXnB6tB1vBzsB,v115@vhHx/IlkBFmBXnB6tB2uB0qBzsB,v115@vhHZEJFgBqpBFmBXnBToB0qBWyB,v115@vhHZEJCgB8pBFmBXnBToB1vBWyB,v115@vhHxCJTkB0lBlmBGoByuBXsBVyB,v115@vhHxCJKpBfqB0lBlmBznB+tBVxB,v115@vhHxCJOpB0lBlmBftB6tBzpBVxB,v115@vhHxCJOpB0lBlmBFoBzpBXsBSyB,v115@vhHlCJ5oBTkB0lBlmBetByuBXsB,v115@vhHaGJ5mB2nB/pBFlBctB1vBTsB,v115@vhHRBJ/pBFlBimBusBctB1vBzrB,v115@vhHRBJ/pBFlBmmBqsBToB1vB0rB,v115@vhHaGJUiB/pBFlBWsBToB1vBRxB,v115@vhHFBJ2nB/pBFlBSrBctBTsBxvB,v115@vhHSFJZmBumB/pBlnBctBTqBVxB,v115@vhHRBJ/pBaqBGmBlnBctBzqBVxB,v115@vhHRBJTkBeqBCmBlnBctBXrBVxB,v115@vhH3AJumBTkByqBlnBctBVxBRvB,v115@vhHSFJlhB/pB2rBlnBctBTqBxwB,v115@vhHZ/ISiBTjBUlBFmBXnB1uBGtB,v115@vhHcAJZkBqkBTjBFmBXnB1vBGtB,v115@vhHOEJ6oBFlBXmB8rBznB1uBxxB,v115@vhHOEJ6oBzkBfrB0mBlnBVyBxuB,v115@vhHZEJUiB/oBzkBFmBSvB1wBmsB,v115@vhHcEJ3gB5oBlmBznBCqBVwB2xB,v115@vhHZ6IWgBKjBUlBFmBXnBTpBFtB,v115@vhH5+I+fByiB0lBlmB3nBlpBTtB,v115@vhHZEJliBfqB6qBlmBToB2wB0sB,v115@vhHFAJ5oBTkBFmBOsB8sBXqBSwB,v115@vhH+/I3hB5oBTlBlnB0pBlrByxB,v115@vhHKDJZkBUhBFlBTnBWvBFrBXtB,v115@vhH8/IZkBFhBXlBFnB6tBGrBzsB,v115@vhHfDJlhB5oBOpBllB0nBzpBirB,v115@vhH2AJ5jBTfB0lBlmB3nBipBVyB,v115@vhHZ/IFiB6oB+pB/qBFmBznBUsB,v115@vhH5DJOkBlgBzkBlmBcsBKtB3qB,v115@vhHZEJCgBTjB8pBFmBXnB1vBGtB,v115@vhHZEJFgBTjBqpBFmBXnB0qBGtB,v115@vhHx/ITjBikBFmBXnB1uB0qBGtB,v115@vhH/CJTfBeoB5oB0lBlmBipBVxB,v115@vhHT/ImiB5oB0lBlmBftBipBVxB,v115@vhHT/IliB5oB0lBlmBetBipBXsB,v115@vhHT/IxiB0lBlmBGoBipBXsBVyB
TTILSOJZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TTILSOZJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TTILZJSO,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TTILZJOS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TTILZSJO,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TTILZSOJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TTILZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X,X
TTILZOSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X
TTILOJSZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTILOJZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTILOSJZ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TTILOSZJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TTILOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X
TTILOZSJ,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TTIJLSZO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTIJLSOZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTIJLZSO,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TTIJLZOS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
